train_loss,kappa_scores_mean,maes_mean,validation_loss_tr,kappa_tr,mae_tr,validation_loss_cc,kappa_cc,mae_cc,validation_loss_lr,kappa_lr,mae_lr,validation_loss_gra,kappa_gra,mae_gra
"[0.7344670653892834, 1.0172635356137336, 0.9912464717006098, 1.1051359699397791]",0.2112477344743992,1.3242269,3.149991917290858,0.06155370336101551,1.321309,2.7957534321716855,0.19380748474066423,1.4283167,2.284322019134249,0.28081515239342125,1.2718191,2.236297911831311,0.30881459740249584,1.2754625
"[0.5573390960550862, 0.5405391457546604, 0.4337302660925792, 0.44119759966604044]",0.4087712713030598,1.1673877,2.515398122370243,0.37681132018750507,1.1410313,2.422395150576319,0.40484178598462206,1.2954863,1.7843301849705833,0.417583734533709,1.1021852,1.8107100767748696,0.43584824450640325,1.130848
"[0.4617637319062821, 0.445564332555552, 0.33049909048840975, 0.3325794829676549]",0.6421776151587784,0.90816104,1.9463335605604308,0.5775691114331494,0.9257441,1.7141144669481687,0.5682963582164978,1.0232918,1.097324177622795,0.6938641292478096,0.86196285,1.0470198403511728,0.7289808617376563,0.8216454
"[0.3622204531798434, 0.34488198161125183, 0.2248587469809531, 0.21878611025670186]",0.624303530794595,0.9332099,2.0999740665512427,0.5747811311187281,0.93429774,1.8201820871659689,0.5915738020933963,1.0303832,1.221915296145848,0.6492834472216273,0.9044202,1.1666263043880463,0.6815757427446281,0.8637386
"[0.35655962615757364, 0.32011250515412437, 0.1985469548123293, 0.19318202777149898]",0.6769548739676652,0.8745793,1.9516713762921947,0.6170958673815463,0.8938538,1.7316047416201659,0.6300629817235834,0.9462845,1.1512931510806084,0.7177555637919657,0.84943056,1.0876448793070657,0.7429050829735653,0.80874836
"[0.313681862378096, 0.275238362087517, 0.15510874288920007, 0.14563742303416702]",0.6785585878084417,0.9042301,1.9665312825569086,0.6149782451976014,0.90130883,1.8430207158838,0.630054678347548,0.9645866,1.313416872705732,0.7249853000506522,0.8952485,1.226299914930548,0.7442161276379655,0.8557764
"[0.3169285302722185, 0.27586695667905886, 0.1577699113169003, 0.14806860506717787]",0.6746351836723948,0.91255945,2.04461279298578,0.6095047592722066,0.91784763,1.8919420854321547,0.6253225821974708,0.96583915,1.3682567168559348,0.7182670249888876,0.9041882,1.2878634855151176,0.7454463682310142,0.8623628
"[0.28561486165634675, 0.24236574439749203, 0.12888452802565906, 0.11576546631407379]",0.6842848556981063,0.89758205,1.9323635468525546,0.6258016107284632,0.88609785,1.9219968845801694,0.6254361832839945,0.9712804,1.3435763801847185,0.7252839995400945,0.8925935,1.2366032754736287,0.7606176292398729,0.84035635
"[0.2965272860728774, 0.2496442750930949, 0.13549372359927073, 0.12443417761871806]",0.6971544632223503,0.8899449,2.0075641934360777,0.6249139609172198,0.905257,1.8948379999824934,0.6571887860914354,0.95505095,1.2735261299780436,0.7386720179530311,0.87356305,1.18138104145016,0.7678430879277152,0.8259086
"[0.2624179480973977, 0.2178410326227383, 0.11182072227617186, 0.09836609041969714]",0.6915367368936387,0.91585475,1.8664622700640134,0.6536882409605902,0.87744826,1.9889915021402496,0.6470421735072728,0.9807485,1.4296516169394766,0.7194637827027561,0.92826325,1.3253608835594994,0.745952750403936,0.876959
"[0.271542278993773, 0.22458857284665434, 0.11882237107314862, 0.10526876533505776]",0.6633092067279123,0.99146867,1.871394817318235,0.6590085611229708,0.8901147,2.330639927514962,0.6018772333887374,1.0890125,1.7040098501103265,0.6828363006557479,1.0278419,1.5467318179351943,0.709514731744193,0.95890564
"[0.24104127747418938, 0.19636964261827003, 0.09833145665534125, 0.08538176420989543]",0.7019316749103743,0.9107603,1.8121584728360176,0.6790368841450953,0.864629,2.0055109917053153,0.648940551060126,0.97891575,1.407256274351052,0.7284730750837609,0.9233518,1.3150757141411304,0.7512761893525148,0.8761446
"[0.25397986484833995, 0.20729495450101101, 0.10695884271926893, 0.09383320456747311]",0.6774443714586287,0.98354375,1.9098456241190434,0.6663973254014428,0.9008642,2.253767762865339,0.6247888308510845,1.0590196,1.6341183057853155,0.6964931476439571,1.0093547,1.5424547078354018,0.7220981819380305,0.96493673
"[0.22498694686168205, 0.18060601583066208, 0.08912056378887895, 0.07605244341062108]",0.7066956335184313,0.91521496,1.785030675785882,0.6858647695638456,0.8552023,2.050454603774207,0.6454357823274113,0.9912026,1.4127545936831407,0.7327208518782373,0.9304069,1.3173492077205862,0.7627611303042311,0.884048
"[0.23756708712902308, 0.19237866502921885, 0.0967826332611953, 0.0844961348590263]",0.749267715360858,0.8023489,1.6034407019615173,0.710003275463083,0.786156,1.7973336215530122,0.6840644853160229,0.90888387,1.0503147984189647,0.7827388275821415,0.7889791,0.929265882819891,0.820264273082185,0.72537655
"[0.21359019948149233, 0.167585531214018, 0.08088441665889949, 0.069799690923394]",0.707134108435926,0.9191195,1.8087750125144209,0.685513339116917,0.8546748,2.117905128747225,0.6410636775456777,1.0133803,1.4061850431774343,0.7362536663516515,0.9283481,1.3074858821928501,0.765705750729458,0.8800748
"[0.22625907360642253, 0.17972056904828043, 0.08945498337887757, 0.07719196239486337]",0.7357332194885109,0.8505912,1.5938058979809284,0.7140070341280198,0.7858024,1.8330080876392978,0.6769529773558158,0.9193606,1.259802948151316,0.7609342433688682,0.87475723,1.1536171393735069,0.7910386231013397,0.82244456
"[0.20219983409484593, 0.15483281296509943, 0.07635860603628426, 0.06453203958525358]",0.7065792307842379,0.9269977,1.806029338389635,0.690757072858814,0.851951,2.185825088726623,0.6345514538063454,1.0359862,1.414241602378232,0.736743668298172,0.9366775,1.3065698120210851,0.7642647281736205,0.8833761
"[0.21666641945090612, 0.16752363798905753, 0.0841038230541951, 0.07255931033834286]",0.6847249534360622,0.9646331,1.9588390764381205,0.6540764071402305,0.9025919,2.2931552891220366,0.6120844291583711,1.0790032,1.4988664048058646,0.7203010701016956,0.9714921,1.3578349841492516,0.7524379073439518,0.9054453
"[0.19231806978038793, 0.14431656814114155, 0.07255775873330447, 0.060524385769805705]",0.7079240340403458,0.93314755,1.8213514132159097,0.6872186337835193,0.8598257,2.228850974568299,0.6379458930428408,1.0577186,1.395331227353641,0.7394749109081156,0.9322976,1.2958605167056834,0.7670566984269072,0.882748
