train_loss,kappa_scores_mean,maes_mean,validation_loss_tr,kappa_tr,mae_tr,validation_loss_cc,kappa_cc,mae_cc,validation_loss_lr,kappa_lr,mae_lr,validation_loss_gra,kappa_gra,mae_gra
"[1.3179209620531989, 1.2186865638929372, 1.4114276909273242, 1.4934619596771899]",0.0,1.3084193,0.6802897052501019,0.0,1.7291676,0.3143223965048057,0.0,1.0106821,0.4501652823206164,0.0,1.3150376,0.37942844304444073,0.0,1.17879
"[0.5855679206437209, 0.3793955406499699, 0.4686197793066229, 0.5733236829068107]",0.004686670608922028,1.0653543,0.3712071443217103,0.0,1.1346686,0.3145175452936022,0.0,1.024246,0.30673234058932397,0.0,1.047725,0.29041628399629577,0.01874668243568811,1.0547781
"[0.5027880639077685, 0.37451894943177005, 0.36730361035369596, 0.4439269396290804]",0.03649210957173796,0.99311495,0.2335529239018447,0.0004781015085438822,0.83927536,0.30652405838849095,0.0014062493593168801,1.0074085,0.3039388557913718,0.09678143589203603,1.0912969,0.2891290391237793,0.04730265152705504,1.0344791
"[0.4653315468450271, 0.36792291047354225, 0.33052930241265227, 0.39755275030615334]",0.13324926023862133,1.0095288,0.294889065233471,0.035842800021651744,0.94303215,0.2877560049678574,0.03431678641354452,1.0087806,0.2833410100839603,0.20359160560941214,1.0333195,0.3070871356048019,0.2592458489098769,1.0529827
"[0.33417309484724883, 0.3110094602904459, 0.29776317749360726, 0.36276148542838516]",0.1492094475335179,1.0001633,0.25872343578706447,0.044365396548621705,0.8893414,0.2943822705109337,0.061286964562984214,1.0064069,0.27386167383913623,0.2141957389184016,1.0123966,0.3333824042037188,0.27698969010406405,1.0925084
"[0.2903063876019388, 0.2800051309289895, 0.2728428217038036, 0.33020646085153765]",0.3237275011180457,0.9279641,0.22048979664461915,0.2541544693547525,0.82013714,0.26389381291147984,0.2855635916364828,0.9530621,0.250834009629378,0.3986776575997846,0.9623989,0.2680502246217797,0.3565142858811631,0.97625816
"[0.26577774534093385, 0.2605950466315505, 0.2553367534054431, 0.3093369323675182]",0.34394385268380245,0.9011222,0.24709010926320474,0.25838354189196155,0.8226813,0.2710657155233898,0.32469488931635104,0.94116294,0.23358564968379666,0.35692936749696924,0.91326845,0.2530001327437086,0.435767612029928,0.92737633
"[0.2494884437758706, 0.24765901487193973, 0.2373136287153558, 0.2876708181248765]",0.2954210041095192,0.9934968,0.22102783042718874,0.24600748092074554,0.7995026,0.26868027965905217,0.28457626533565106,0.95461166,0.3285994997665561,0.3393250991089475,1.0944166,0.36864941159462117,0.31177517107273267,1.1254562
"[0.24025878516794955, 0.23902137551493696, 0.22197821505108975, 0.27391638056326534]",0.35696425559424244,0.9311248,0.20823855264150876,0.2837581445183882,0.7749837,0.257638753468328,0.33335902405429274,0.9311895,0.283433056747267,0.4330137074331003,0.99020576,0.3203407325446106,0.3777261463711885,1.0281203
"[0.22751622012199876, 0.22979884339411, 0.20898540871335755, 0.2574971592108201]",0.37572107111749414,0.93914044,0.23814401282086062,0.29277953691949044,0.8058498,0.2659408585311582,0.3735597228864954,0.9237663,0.25915790848588066,0.4506671523304743,0.9591853,0.34387876202501755,0.38587787233351656,1.0677601
"[0.2228396897518983, 0.22602161594163636, 0.1943787892860478, 0.24062555419288822]",0.3320374598610988,0.9511317,0.21338354759938627,0.26684558079196596,0.79381037,0.26248501008818975,0.3243725078683012,0.9391507,0.3079514567281628,0.39143053595338906,1.0114853,0.33948525386592276,0.3455012148307389,1.0600804
"[0.2124836199408592, 0.21642961709466166, 0.18224928059079876, 0.22620966966775768]",0.4298132179188087,0.8945802,0.21847961269123317,0.39766898953016994,0.7612096,0.24856996869427855,0.4665780562215004,0.87781286,0.23303350065759335,0.5037698792815897,0.88665515,0.3360804873281781,0.35123594664197477,1.0526431
