train_loss,kappa_scores_mean,maes_mean,validation_loss_tr,kappa_tr,mae_tr,validation_loss_cc,kappa_cc,mae_cc,validation_loss_lr,kappa_lr,mae_lr,validation_loss_gra,kappa_gra,mae_gra
"[2.4242594078854163, 2.29568258929301, 3.225821523561876, 4.016314832111031]",0.0,1.0409684,0.42720451197223064,0.0,0.9667593,0.4787503997829122,0.0,1.1174413,0.4391429259281974,0.0,1.0243045,0.4099115673941964,0.0,1.0553687
"[0.74210940972084, 0.5517611708463678, 0.5411996655563233, 0.7169439619191363]",5.401045697761564e-05,1.0233271,0.3732190022110739,0.0,0.8513685,0.4427413446167583,0.0,1.0410147,0.42611808057868195,0.00021604182791046256,1.1141701,0.4560281711460293,0.0,1.086755
"[0.7099146082825523, 0.5359123436666954, 0.5199732341298544, 0.6848687542357011]",0.10712548000598168,1.0061667,0.3585253129747075,0.08301130015156388,0.9154977,0.41307943561278354,0.07962546055857644,1.0315852,0.3850963501673027,0.1677917252176504,1.0372531,0.41141839970950644,0.098073434096136,1.0403309
"[0.5623154708852658, 0.47560495780416917, 0.5146932458568109, 0.6402946584773249]",0.09805156853535271,1.0266855,0.30812758299776666,0.081254691286335,0.83682483,0.4201623363625477,0.011002117763396102,1.0403746,0.4242071740916483,0.1051799062652915,1.0807633,0.5235595562692592,0.19476955882638824,1.1487793
"[0.4481944125425253, 0.425363439687591, 0.4700918548448239, 0.5894971995752706]",0.3245609996654819,0.9018512,0.35982342345911805,0.2323675354002791,0.8425827,0.37678987412495346,0.27520885324138955,0.97906786,0.3004374735477985,0.3839356846916142,0.89217675,0.3309401717846989,0.4067319253286449,0.89357746
"[0.3965630735633389, 0.39209845244936353, 0.43102708568246945, 0.5346169913319039]",0.34224045211687204,0.91918474,0.3386334154677831,0.26336650492211267,0.830024,0.368392562852884,0.3243909669000361,0.9532248,0.34987687414887897,0.41687720166841535,0.9377619,0.372145279900464,0.36432713497692415,0.95572835
"[0.37712868367188146, 0.3719732056054944, 0.39107995828597836, 0.4807599062078038]",0.3535258376578544,0.917995,0.24450426162655226,0.3216616374275779,0.772569,0.3389725428243267,0.30359078510927473,0.941163,0.3362818524916123,0.45066451946491703,0.91810465,0.4453060250165011,0.3381864086296478,1.0401434
"[0.3553412295794195, 0.35549661062253185, 0.3584947536983307, 0.4437286096014751]",0.4475206231444403,0.8506087,0.2363049132054981,0.41934306970775037,0.7421733,0.3075796312596826,0.3706919883169004,0.8878347,0.29201920389662644,0.5383021175811207,0.85423833,0.34328689803085627,0.4617453169719895,0.9181885
"[0.3385059645336107, 0.33921588038345357, 0.3248440236529588, 0.40814834951135626]",0.39541610829346985,0.9052268,0.29767804290909816,0.31838790998578104,0.8081803,0.3499730118431147,0.3084035726490434,0.942168,0.3105346105030757,0.5140694554808973,0.8842928,0.3981086146305099,0.44080349505815775,0.9862662
"[0.32252543347692325, 0.3241275567054904, 0.29739998086836383, 0.36916203695188604]",0.46114776332838364,0.89113104,0.2845251756699942,0.38328370733056305,0.7691727,0.3171106034014197,0.44698381602435344,0.8873488,0.32312275819967684,0.5385762045403154,0.8960824,0.41815552810106016,0.47574732541830267,1.0119203
"[0.3061790008101399, 0.3126130036382486, 0.2738107702208001, 0.34499832925116397]",0.43569567137539333,0.9075248,0.2863127447210789,0.38925718953481037,0.77429277,0.3371421081050939,0.38700435865729954,0.9170249,0.32100182067021904,0.5224151244820348,0.89250404,0.4403196749172776,0.44410601282742856,1.0462775
"[0.29755626657219864, 0.2987337744540261, 0.25604734602256973, 0.32069667710147876]",0.45438599136608826,0.8943987,0.2803370306583808,0.4022700794211851,0.7853884,0.3556068186456095,0.4115270353709942,0.9392926,0.3048120595977052,0.5355501720434372,0.8749434,0.39633682498457445,0.4681966786287366,0.97797036
"[0.28659316439044613, 0.29027976949378653, 0.23813665469742507, 0.3014639089139669]",0.4362373220650712,0.9201273,0.2875784073730898,0.3867507324322389,0.8030924,0.35921822499136075,0.38341323012480555,0.94932806,0.32170064944738513,0.5314928615418358,0.8965395,0.4305719617960372,0.44329246416140466,1.0315492
"[0.2778124109101809, 0.2784505497120452, 0.22250491664970806, 0.2830775200490825]",0.46050746164354484,0.8856722,0.2817382737452788,0.3781450978219407,0.78769016,0.3468387723635401,0.3737737627365262,0.9334952,0.3040978941356356,0.565950952031161,0.8695025,0.3776597384969371,0.5241600339845514,0.9520008
"[0.26229931465343, 0.26758435195982216, 0.20576246593102404, 0.2600973088092485]",0.38446904866531895,1.0188464,0.29362043372707836,0.3835604161689943,0.8095045,0.3670655268074215,0.33664358325194743,0.9597497,0.423605283090294,0.4683037435960775,1.0188102,0.6385771602542124,0.3493684516442567,1.2873212
"[0.25800309779658537, 0.25982530271027626, 0.1951982048337778, 0.24195366895585207]",0.4106104082187668,1.0060337,0.32411566789820584,0.3626014097925939,0.84999156,0.32480793261807883,0.41959076270970375,0.9005529,0.4082424802577582,0.4789434546427961,0.99702334,0.6362962486558683,0.38130600572997353,1.276567
"[0.24283969452448384, 0.2480134247013366, 0.18362164632545908, 0.23160387949370964]",0.461747386912428,0.9665496,0.30593951545393355,0.40779869273711666,0.8108678,0.3620903155635761,0.41903914755488647,0.94126844,0.3845798771364053,0.5424957046873536,0.9754068,0.5081476123723456,0.47765600267035524,1.1386552
"[0.23338537408925927, 0.24096660556509517, 0.17538534141777132, 0.21799138996467296]",0.493958992015778,0.90232074,0.2977981556304811,0.41248264522417677,0.80415225,0.3268657577744138,0.4682030750518027,0.8899303,0.3184362200967022,0.5681470006929379,0.88432795,0.4270478549651289,0.5270032470941945,1.0308726
"[0.22658625040663896, 0.23579725917134567, 0.16554271349117897, 0.2068891058374148]",0.49376683714825703,0.91408205,0.3129261039434831,0.4453602199556499,0.79230416,0.33751688107989763,0.480524478561725,0.8818741,0.34890888800429126,0.5504174435884945,0.92786264,0.4456525071830707,0.49876520648715883,1.0542874
"[0.2140483397810292, 0.22407556212447152, 0.1560370986875341, 0.1920468162529948]",0.4483539463002897,1.016397,0.2857463185250126,0.4280357625341322,0.8307116,0.33677578905296435,0.44705512763210353,0.91345716,0.42643123280408995,0.5021522902595653,1.0276735,0.6495835645496012,0.41617260477535767,1.2937456
"[0.20167617563793877, 0.21538516683943612, 0.14997041615817625, 0.1834211542723739]",0.4231246102612888,1.0534482,0.30869762046401095,0.39977883547954185,0.8565034,0.3656747618355919,0.40715021048625966,0.9494351,0.4551417380154899,0.4933980195172769,1.0615602,0.6952062863221443,0.3921713755620768,1.3462939
"[0.19452739144290437, 0.2050258492878458, 0.14313876126875916, 0.17445258623227172]",0.4589325716169945,1.011548,0.34481650295205596,0.41595225531936697,0.87245786,0.3721666819326967,0.44038223237048557,0.93964916,0.3817593153793096,0.5399556384636375,0.9677543,0.6222882910171923,0.4394401603144883,1.2663307
"[0.1875426422243545, 0.19662918844321392, 0.14067595832784047, 0.16638164114946902]",0.4663429120314164,0.98252755,0.3409260686813885,0.4047465774225639,0.85990953,0.39052733249208527,0.4254464614147261,0.9626819,0.3713624551350875,0.5552349585937176,0.9541966,0.5286735184636444,0.47994365069465805,1.1533222
"[0.1822040953775597, 0.19351986546338698, 0.1354339004300908, 0.15617200333418974]",0.46903168848977195,0.95808154,0.3195358522115572,0.3999671218488554,0.85737383,0.4150788800352575,0.4403441925537067,1.0076542,0.34655242360391186,0.5420880012606533,0.9232473,0.44342036217934194,0.4937274382958722,1.0440509
"[0.17112737747002318, 0.18633217765792925, 0.13065784839509006, 0.15348996923587171]",0.44663279578712395,0.9797068,0.3360253321584741,0.3493814047935496,0.86347073,0.37875922241645393,0.4166942349544698,0.9514268,0.3549317344065283,0.5540040597984115,0.9330153,0.5477864610675729,0.466451483602065,1.1709144
"[0.16678436906697242, 0.1817026210266895, 0.12464935138100909, 0.14411442320528875]",0.42191635789184273,1.068522,0.39395472742179843,0.36033276521697677,0.9364107,0.43481485994585806,0.39298649001354735,1.0217453,0.41076401557383957,0.5165707689267691,1.001755,0.6722715329097728,0.4177754074100777,1.3141767
"[0.15948873461719074, 0.1726983958001272, 0.1206836157823679, 0.1390070691234733]",0.47341600422071267,0.9618632,0.33412485851663126,0.41303202989123,0.8662991,0.4198289723653511,0.40077666043525306,1.0075257,0.3650439040263716,0.5662825782355878,0.94279456,0.4313171171755548,0.5135727483207797,1.0308335
"[0.152425553948692, 0.16846437417238153, 0.12064956478678923, 0.1329061000713729]",0.4432724779795246,1.0257704,0.3811894099495143,0.3898507976027126,0.93030536,0.4330912387324419,0.39671243427417,1.0184376,0.39009109342677956,0.5405851228832081,0.9766708,0.5534952383856989,0.44594155715800765,1.1776676
