train_loss,kappa_scores_mean,maes_mean,validation_loss_tr,kappa_tr,mae_tr,validation_loss_cc,kappa_cc,mae_cc,validation_loss_lr,kappa_lr,mae_lr,validation_loss_gra,kappa_gra,mae_gra
"[1.1059923188053284, 0.9164295749662232, 1.0827262200802494, 1.6533950128433246]",0.0,1.0203408,0.20721670257655384,0.0,0.904105,0.23488554912382428,0.0,1.0404422,0.22831779002077157,0.0,1.0826479,0.22529035401850722,0.0,1.0541681
"[0.352760822456091, 0.28246365423934144, 0.28277782360773196, 0.36360167775884705]",0.0,1.0103973,0.18027779828942375,0.0,0.82941216,0.22826855711726385,0.0,1.011618,0.23477175200431957,0.0,1.1163925,0.23716078528716886,0.0,1.0841666
"[0.33893929732112954, 0.27473432621749455, 0.2666442601409853, 0.33548460793057794]",0.17898352698332065,0.94078314,0.17887209978864604,0.0782253280864974,0.8625932,0.207241147023596,0.07257551838259368,0.98748195,0.1915785468377635,0.2525276901749416,0.9607317,0.19740226308415895,0.31260557128924993,0.9523258
"[0.32908960707287405, 0.2654513842359722, 0.24835783666734915, 0.30076833502496525]",0.29905163108644867,0.92812294,0.13933360577462572,0.2741653274266871,0.75634074,0.1962260962898602,0.28656198735251726,0.95796484,0.20016168258655265,0.3400623787991296,0.9816105,0.2202080517357591,0.2954168307674607,1.0165756
"[0.279255207167449, 0.24413833546699862, 0.23763136207715965, 0.2803091887838733]",0.3611363310711134,0.9004434,0.15078272457276728,0.29336058702670065,0.78781474,0.19257985391118396,0.3217260838788968,0.95048094,0.18275324761234493,0.4361976028491579,0.91424525,0.2024225718219431,0.3932610505296984,0.9492325
"[0.226748431314975, 0.21583264928923482, 0.21697489648774299, 0.2530623522669036]",0.35408380011367824,0.9351834,0.18441794025558142,0.28630825220863076,0.8350327,0.20216528800627984,0.3036114922447325,0.9447185,0.19059959988543412,0.443500746656743,0.92113626,0.2292045663361312,0.3829147093446067,1.0398462
"[0.205393502117716, 0.20152297080293557, 0.19554647926699562, 0.22785644716317863]",0.39678241449268853,0.93536466,0.15644589830304473,0.3788383459172202,0.77654624,0.18214299993317776,0.369381252679605,0.8995055,0.21296665025796885,0.44729033147387476,0.98745894,0.24452592381690053,0.39161972790005417,1.0779479
"[0.19284470445803256, 0.19069773621965758, 0.18082148278825355, 0.20957989622369116]",0.3912638460868472,0.9608239,0.1410503538753348,0.4246355060034305,0.7452966,0.17825010205661204,0.35455104996272446,0.89111733,0.2233354604197588,0.43275825501378296,1.0251148,0.27757805694142423,0.3531105733674511,1.1817671
"[0.18468029564499777, 0.1836011772699123, 0.16568213295358733, 0.194093146768286]",0.3936631122770107,0.9608077,0.1687454368446445,0.3434852271011595,0.80230504,0.20311381335095896,0.38139238366149286,0.94875044,0.2164832931563733,0.4561491758098398,0.99322575,0.2513474914333286,0.3936256625355504,1.0989494
"[0.17841979084488757, 0.17716838124461193, 0.15374820119133456, 0.18220791504404005]",0.42877479020291087,0.98026335,0.16465853268771014,0.40099935358051153,0.7663758,0.19050364648582815,0.4362106999914228,0.9101462,0.23548732145729512,0.4668142253671932,1.0554931,0.27993757090733795,0.4110748818725162,1.1890384
"[0.16997814787652113, 0.17083321161879889, 0.1421663074568265, 0.1693482037062884]",0.3960395818708837,0.9796452,0.17921842353979658,0.3612142172527113,0.8434212,0.20642750907237467,0.3644612397691743,0.96479434,0.21282913782797824,0.4603097686315506,0.98767185,0.256924922903401,0.39817310183009846,1.1226933
"[0.16488141842420379, 0.1651121242947406, 0.13415065423960476, 0.15803113162461363]",0.3771498722419213,1.0877095,0.18467671636964703,0.343653587081734,0.8431625,0.2231001025841448,0.39357044087881554,1.0025862,0.2778311383964097,0.4239758162419335,1.1800461,0.32870470686222736,0.34739964476520235,1.3250433
"[0.15973004124252058, 0.16026552527176963, 0.12549777636370002, 0.14977238724024006]",0.370806110721194,1.0603338,0.16493298514819532,0.3943292647668776,0.78195184,0.21153187352795386,0.35599309285492964,0.9736375,0.25983193849904235,0.41330450550037123,1.1174906,0.34528833556068617,0.3195975797625976,1.3682553
"[0.15500513805379965, 0.15515607586367533, 0.11869206844671203, 0.14126559865931967]",0.3715690797042594,1.0697925,0.20171708120121645,0.3410931425001076,0.8817625,0.22808302040204048,0.35014339972589903,1.0202866,0.26479123405333405,0.42629641519085915,1.1308309,0.3039075835514762,0.36874336140017183,1.2462902
"[0.14952876414560992, 0.1502383737517928, 0.11323386910535921, 0.13326358581929545]",0.4519431698337116,1.0014408,0.17244833001482746,0.44184949673667584,0.81472063,0.20739526914244194,0.45541529660517277,0.9496099,0.22788085795568314,0.49744079373271577,1.0280637,0.28825821589663947,0.41306709226028193,1.2133691
