train_loss,kappa_scores_mean,maes_mean,validation_loss_tr,kappa_tr,mae_tr,validation_loss_cc,kappa_cc,mae_cc,validation_loss_lr,kappa_lr,mae_lr,validation_loss_gra,kappa_gra,mae_gra
"[1.7496548442530775, 1.4354854350348136, 1.7171299976967511, 2.664438473643251]",0.0,1.0439043,0.3087187389827028,0.0,0.97658026,0.3286075072124592,0.0,1.0692546,0.304687507371452,0.0,1.0787479,0.3076777917636447,0.0,1.0510345
"[0.5142672753223402, 0.39729165145955136, 0.39014084479088074, 0.5163896795794164]",0.0,1.0182885,0.2365096018942726,0.0,0.83113915,0.30986883475035515,0.0,1.0255506,0.3211149676109973,0.0,1.1315262,0.32312700714626547,0.0,1.0849379
"[0.4948467823352818, 0.3874150288778378, 0.37026466581043654, 0.4796479213000917]",0.1526601506366166,0.96728134,0.25220994948674474,0.1021128177430155,0.9131773,0.28453783523509996,0.09210461047295893,1.0042859,0.25851854865213825,0.22900950898189965,0.97924495,0.27008252073227196,0.18741366534859227,0.972417
"[0.4804181409845082, 0.37344595293960337, 0.33986349806560145, 0.42392808750415506]",0.21986245125031803,0.9266282,0.18337731965431758,0.2754974084882582,0.75631607,0.2612810933336724,0.29035372311040286,0.96387833,0.2677547384351242,0.19406604237296432,0.99182653,0.27857005383763117,0.11953263102964673,0.9944919
"[0.40234178872150295, 0.3415753631524028, 0.32683758094575094, 0.40012320184169986]",0.33443639957876103,0.9336388,0.21229478547764996,0.25758898187196044,0.82133585,0.2605111748896343,0.3313978915293807,0.96741474,0.2669446083871661,0.39686010526381343,0.97520876,0.28313645858748654,0.35189861964988955,0.9705957
"[0.31028615222322303, 0.29649711192436484, 0.2971468581138343, 0.3573200847951127]",0.3576404577270987,0.9320704,0.26223808397055337,0.247459806728496,0.85330164,0.2638511561261268,0.32012301609094407,0.9493923,0.23841406554066982,0.47506870050924943,0.89626795,0.3121221784508515,0.38791030757970524,1.0293196
"[0.27730463099318897, 0.27117231654840784, 0.26298559672785293, 0.3167117968656527]",0.38487504660726474,0.9316417,0.1771705604552423,0.37596397324708286,0.7625621,0.23815621528930675,0.3620287999811225,0.916709,0.2883311535240619,0.431168164655893,0.9954907,0.3280565793318346,0.3703392485449606,1.051805
"[0.25884762041356635, 0.25668675308062094, 0.24261015152042611, 0.2877184738557737]",0.3293641960813183,1.0272182,0.1834527197465209,0.3583993530856515,0.7956384,0.25573895885799103,0.3041354835824681,0.95218337,0.3142471313309976,0.3995022544348976,1.051755,0.45430165677513074,0.255419693222256,1.3092963
"[0.24947167086416275, 0.2473017661266024, 0.22213613361143994, 0.265576708195571]",0.431496047788151,0.9222899,0.18600374088732471,0.39425263006777167,0.78156966,0.24612844764953087,0.4306346719713193,0.92188156,0.26025689609427904,0.48188503478546185,0.9387712,0.3191845963759553,0.4192118543280511,1.0469372
"[0.2364142969727179, 0.23665460867028093, 0.20472958492719273, 0.24776775829294648]",0.42108671121676877,0.9844706,0.1925943513500284,0.43110316162824136,0.7481704,0.250315718915024,0.43883511901821504,0.9155226,0.3096096764202555,0.4531040132281231,1.0383999,0.4107933306640723,0.3613045509924958,1.2357895
"[0.2258831469936252, 0.22826657283730542, 0.18906438334037806, 0.23046969927452463]",0.4702952193710261,0.88494396,0.19642518276672513,0.4008714189020838,0.78601074,0.24568484114694356,0.4248622615759171,0.9130134,0.23317387331091805,0.5432208765980387,0.8823944,0.2758700541106598,0.5122263204080648,0.9583574
"[0.2177913403532225, 0.21831664415787477, 0.1749910648319808, 0.21230255470698742]",0.38121642845926185,1.0909323,0.21750138227735705,0.382839665531445,0.7996517,0.2846430054651818,0.38806337252209,0.9794217,0.3823645147882806,0.40643595264162535,1.18006,0.49837189729550885,0.34752672314188693,1.4045955
"[0.21274218224483338, 0.21359530221161682, 0.1653629119365005, 0.2012021341703151]",0.386728435246753,1.0462157,0.20133329252413093,0.41612334969944587,0.7753591,0.28365342959536727,0.39090396365308633,0.9832228,0.37041025685824247,0.3938211192885934,1.1518111,0.43518316310967325,0.3460653083458862,1.2744696
"[0.202692516768837, 0.20715649732953184, 0.15459472874977567, 0.18842390245652582]",0.36150554750708075,1.1289499,0.22270112630040237,0.377847049420139,0.844309,0.31388073746487705,0.3567080787498683,1.0520265,0.39000681165945206,0.3973131496166802,1.1899589,0.5195471289572334,0.31415391224163536,1.429505
"[0.19762232165574836, 0.19992198663637487, 0.14557222241701775, 0.17676397247536949]",0.43557513597077513,1.0244424,0.23097345545313225,0.4090939093658812,0.8386932,0.28757896846136344,0.4317133882578945,0.9798452,0.2967098273166136,0.49592691212159334,1.0151436,0.42378917891196927,0.40556633413773147,1.2640878
"[0.1906795316835612, 0.19363223713075836, 0.13796170102543798, 0.1647023315104587]",0.350048231004647,1.1055453,0.2487319445996527,0.3237677722238015,0.8878292,0.3412439046857609,0.27492706157433977,1.1010113,0.36029733271822706,0.4247655432821166,1.1373501,0.44636581499127453,0.37673254693833036,1.2959902
"[0.18274506588448436, 0.1880696034928055, 0.1293263770210398, 0.15621510792025783]",0.43836436866981143,0.9741858,0.2533046789030045,0.38798144828923076,0.8378203,0.288967931250609,0.4157497757728005,0.968953,0.28534950115215585,0.5027927723281898,0.9894613,0.3488694131041186,0.44693347828902474,1.1005088
"[0.17604961616809178, 0.18012198663939508, 0.12521016691967313, 0.14891172597902905]",0.4073834313877648,1.0551441,0.2640367905276657,0.397705489803422,0.89605,0.31751982945180457,0.39874757448369447,1.0244162,0.30815998765927843,0.4737010062476108,1.0310724,0.44246889934851646,0.35937965501633196,1.269038
"[0.17082690568530753, 0.17726168436677692, 0.11941057571657901, 0.14264321056220333]",0.3770831807803371,1.133182,0.24714891944869793,0.37439377187807976,0.8708169,0.29431783245088267,0.3689610560600005,0.9938334,0.3811666069915669,0.423170023694723,1.1709481,0.5600379824705002,0.34180787148854497,1.49713
"[0.16250027515619214, 0.16981239212926344, 0.11438070950873931, 0.135125206998028]",0.3453479849510934,1.1291766,0.23739548145791817,0.3721943111598689,0.8456946,0.2891568432745819,0.3406092409424538,0.98512447,0.3706080284846302,0.3817600264590182,1.145308,0.5923070875274995,0.2868283612430328,1.5405793
"[0.15524011302868232, 0.16313952952677394, 0.11087651654173557, 0.12974805794545524]",0.45866759314925704,1.0035148,0.23821851661113336,0.44286698517740875,0.84574854,0.2747244146064782,0.42996426225492923,0.9474102,0.31220595837638926,0.5046841306265182,1.0393596,0.38830878112887857,0.4571549945381721,1.181541
