train_loss,kappa_scores_mean,maes_mean,validation_loss_tr,kappa_tr,mae_tr,validation_loss_cc,kappa_cc,mae_cc,validation_loss_lr,kappa_lr,mae_lr,validation_loss_gra,kappa_gra,mae_gra
"[2.8479002291429127, 2.6127210563801704, 2.7340486125743135, 4.009769838329748]",0.001531682549999358,2.2297902,7.548467636108398,0.0007284154408655485,2.5156846,6.252898843664872,0.002038659089758754,2.1262228,5.4008581763819645,0.0017277608270073186,1.9942337,6.78654522644846,0.0016318948423658108,2.28302
"[1.5502872226086069, 1.4639206389163404, 1.50334022188863, 2.282107056455409]",0.003548285722630412,2.1039753,6.947621458455136,0.005671252022978135,2.3971171,5.676188330901296,0.0031256531827197342,2.019728,4.857708541970504,0.0029469056851169073,1.869079,6.019067212154991,0.002449331999706872,2.1299767
"[1.1889659443222884, 1.0805523982073397, 1.1245801188844315, 1.6932492294210069]",0.18352970122665607,1.557451,4.448665813395851,0.16901336694591207,1.7992966,3.531796323625665,0.2476907936711299,1.5541644,2.8551412193398726,0.16209645023159835,1.3907061,3.2142376209560193,0.15531819405798397,1.4856366
"[0.9116188045723218, 0.7977389891942342, 0.8285321840580474, 1.2449243140558826]",0.18951073902811333,1.4678717,4.031409859657288,0.1680621451090074,1.6814791,3.2636919460798564,0.2725661667138636,1.4751543,2.6213307066967615,0.16209645023159835,1.3227962,2.8810834947385286,0.15531819405798397,1.3920567
"[0.7754460647173808, 0.6499635896361466, 0.6851688121438871, 0.9874717975761873]",0.2901156434383596,1.2254169,3.037070246119248,0.2658870138642363,1.3750991,2.5948115775459693,0.22135402288564854,1.3195211,1.9977661700625169,0.3314209571751119,1.0836632,1.9547967063753229,0.3418005798284416,1.1233844
"[0.6798414778202138, 0.5610689222812653, 0.5893338830969858, 0.8178681743905899]",0.2667608470277399,1.1930614,2.787578952939887,0.2986954877770821,1.2747095,2.451767921447754,0.2358944271527713,1.279224,1.9629898181087093,0.2820929476763081,1.0920936,1.9077304742838208,0.25036052550479804,1.1262181
"[0.6434162242192749, 0.523646187697742, 0.549764891465505, 0.7400363239836185]",0.2746351286787362,1.1167909,2.3304830507228247,0.38965191486982076,1.0198172,2.237589396928486,0.22399214817294322,1.1799476,1.8817202323361446,0.24198531951894486,1.1198506,1.8672611493813365,0.2429111321532358,1.1475481
"[0.6114924403158486, 0.5012704099640779, 0.5184882575949878, 0.6887269727093108]",0.26729653407254217,1.1293509,2.3550133171834444,0.3945495276143687,1.0432893,2.2461327345747697,0.1833603096059342,1.1864896,1.857634767105705,0.2414472626834392,1.1386406,1.8941480360533063,0.24982903638642673,1.1489842
"[0.6094431773567877, 0.5007573798404518, 0.4968522180479469, 0.6666498642863957]",0.2846703353617087,1.1201162,2.286797457619717,0.3471527547249824,1.0628827,2.224557948739905,0.22260256609200268,1.145084,1.7990574773989225,0.31023406596674896,1.1227831,1.9740209077533923,0.2586919546631009,1.149715
"[0.5917274390235014, 0.4949143318631125, 0.46350700667141176, 0.6241624438804938]",0.3278002283058503,1.0998931,2.2728886243544126,0.36823661099463734,1.0748649,2.238309226538006,0.25743995868638225,1.1504803,1.6719492266052647,0.38585695331784686,1.0691894,1.8349412914953733,0.2996673902245347,1.1050378
"[0.5923161038481597, 0.49342634491886656, 0.45866356441315187, 0.6129231703408221]",0.3559282215514916,1.0720124,2.1403207841672396,0.39927266464496836,1.0283201,2.1773186984815096,0.23422751310568202,1.1367837,1.5606249696330021,0.4276344920053432,1.0334327,1.7810905277729034,0.362578216449973,1.0895132
"[0.5654873166840972, 0.47915001102584476, 0.4248827072851201, 0.5617190784385019]",0.3856279454183609,1.0680187,2.0625952607706974,0.4508893033073298,1.0332236,2.1282081980454293,0.25791329380537975,1.1280322,1.5244820180692171,0.436468171722026,1.0215416,1.7856665441864414,0.39724101283870794,1.0892774
"[0.557909479060917, 0.472906046566811, 0.41578594595193863, 0.5492081004888454]",0.43726448156186015,1.045282,2.0623137888155485,0.4770307443036418,1.0140536,2.02124989346454,0.3045746246479969,1.108903,1.3815194807554547,0.5046514431075394,0.97026235,1.7842149828609668,0.46280111418826253,1.087909
"[0.5255339385558527, 0.4574424531971309, 0.385968231932914, 0.5071203735069181]",0.46880198835294273,1.0453756,1.8425711667851399,0.5502032845438709,0.9802398,1.9921417675520245,0.33572568722005347,1.1027831,1.4536685708322024,0.5138091140360361,0.99869883,1.8213359007709904,0.4754698676118102,1.0997808
"[0.5099316091402203, 0.44838989145578223, 0.38983566741994086, 0.5074564892772242]",0.478081306778118,1.0395701,1.6722252165016376,0.604441874287727,0.96017456,1.9842417773447538,0.3535429501714654,1.1175797,1.436556455336119,0.4929485783277088,0.9891029,1.8196414960058112,0.4613918243255707,1.0914235
"[0.4495702922238526, 0.4162932647035477, 0.3701243355658883, 0.4700528082061321]",0.498925362038743,1.0319343,1.6096896976232529,0.6361779058145688,0.9419261,1.9129362294548435,0.4064009339694151,1.1004986,1.4576713348689831,0.5222179197057186,0.99471676,1.8324680485223468,0.43090468866526943,1.0905958
"[0.4417346876563755, 0.4093232256829316, 0.3709506174774035, 0.4735565701275007]",0.5467388061789719,1.0157717,1.6875513525385606,0.6707590139108899,0.9405635,1.911356558925227,0.489909277383472,1.0727981,1.5689569445032823,0.5147071991845928,1.0260179,1.6552598931287463,0.5115797342369328,1.0237074
"[0.40116415257360916, 0.3768771528563601, 0.3475356900417213, 0.44400620788124434]",0.5485480610030792,1.0177184,1.502157609713705,0.6900163769940384,0.91129816,1.8657154503621554,0.4667693001781652,1.0794543,1.442710595695596,0.5427869456598043,0.98843986,1.8819831954805475,0.49461962118030867,1.0916814
"[0.40818523657871475, 0.38332106733153054, 0.3519952771722848, 0.4476974387752249]",0.543807200233728,1.0214573,1.386683875400769,0.718871902460775,0.8828066,1.885444120356911,0.47507427839919525,1.0904262,1.4384537417637675,0.5428469721353103,0.9853246,2.0089463717059086,0.43843564793963163,1.127272
"[0.3775744708717292, 0.3615015841861989, 0.3281176949963502, 0.41779007958182207]",0.5581577976217542,1.0049083,1.4097456924225156,0.6749613548971128,0.8921119,1.8521025337670978,0.4894612141667286,1.0772055,1.4012133134038824,0.563087068733775,0.97015834,1.890286269940828,0.5051215526894004,1.0801573
