train_loss,kappa_scores_mean,maes_mean,validation_loss_tr,kappa_tr,mae_tr,validation_loss_cc,kappa_cc,mae_cc,validation_loss_lr,kappa_lr,mae_lr,validation_loss_gra,kappa_gra,mae_gra
"[1.972192442038331, 2.1526591465467866, 2.3211220021037025, 3.8754257987135676]",0.03204164748766908,2.1608453,1.2860863315788262,0.061632401645007384,1.6921186,1.2624564487013676,0.017167444143706745,1.5905831,1.3066981108571951,0.047482975236836866,1.9875828,2.6061682581144874,0.0018837689251253176,3.3730962
"[1.3373482283866625, 1.3268649675141704, 1.0848297642813076, 1.8657117391713811]",0.04855948125543516,1.6082273,1.1993321147458258,0.1525754091792333,1.5516444,1.1580818168767306,-0.04372425498340893,1.3581157,0.7528694507085588,0.1390645706892112,1.2971193,1.5430911476557136,-0.053677799863294906,2.2260296
"[1.2725879714129706, 1.2539203399640362, 0.7791462980103492, 1.3029924713217058]",0.054585622180123555,1.3835458,1.1830237637553187,0.12913581117561423,1.5838566,1.1144202648561752,0.03170838985774438,1.3412743,0.5642895968699296,0.18051186662846475,1.1214674,1.1937726447211219,-0.12301357894132914,1.4875845
"[1.1881288935122825, 1.1886344232106683, 0.6833415071217762, 1.0752947731281317]",0.17084221041570477,1.3324753,0.8681460572462382,0.3888540442280364,1.4029651,1.0400217938012224,0.16554948973615846,1.3141725,0.5935035072460184,0.17727442630011614,1.1496226,1.103084398956588,-0.048309118601491896,1.4631411
"[0.727967881357616, 0.9600553154869689, 0.6861442879207823, 0.9076111039142445]",0.2907025073743036,1.1617463,0.5948275103078674,0.6479915940064243,0.9594322,0.8191796899308242,0.3931534492837113,1.1432687,0.6090575675954392,0.1523917265442195,1.2048405,0.8143455350302272,-0.030726740337140956,1.3394439
"[0.5985855621776085, 0.8358893234420324, 0.620912941354094, 0.7038372875705504]",0.31241132999043025,1.1430043,0.543608483314758,0.697997870463531,0.8971882,0.8251215317613371,0.4011732145171384,1.157755,0.5792437486251927,0.20160797810856224,1.1698308,0.8039581392316801,-0.05113374312751051,1.3472432
"[0.5327428796657285, 0.8053444325404606, 0.5889724606626487, 0.6277097195234627]",0.30964741704987125,1.172418,0.5785445156025295,0.6418929210003125,0.9816597,0.8481962530075761,0.37533490837580674,1.2467463,0.5505116903230617,0.24561498700697915,1.1731864,0.7234247977902242,-0.02425314818361346,1.2880797
"[0.5062631272523976, 0.7634376819337941, 0.5569715880332309, 0.5567771502287866]",0.32671404083108696,1.1258249,0.5611913837537522,0.6778006622448053,0.91716725,0.8376757970034421,0.3369592941759192,1.2247863,0.4782718448372659,0.32042754638626325,1.0865835,0.7922535993817444,-0.028331339482640105,1.2747625
"[0.47773387729117633, 0.7165242825442892, 0.5265937909423238, 0.5474462217424033]",0.3477765519291086,1.1133227,0.5321805388651191,0.6906983311448922,0.8949201,0.83276618059946,0.3484675440037349,1.2530569,0.46185937837883717,0.34123931672410546,1.0881023,0.677224272836383,0.010701015843701978,1.2172116
"[0.444257907179886, 0.702692398502988, 0.4964572405438463, 0.51988964287771]",0.3696930079731827,1.166103,0.5908249553574499,0.6542988176018456,0.997973,0.938782135038401,0.400472818964301,1.3385956,0.47794294421919886,0.32855750926906246,1.1169105,0.672068758427471,0.09544288605752183,1.2109331
"[0.4175466278494846, 0.6738013982639655, 0.4549918967899643, 0.4987192078757697]",0.3817375746599624,1.1748718,0.6511028461395911,0.6579243844754628,1.0445647,0.9602869515307503,0.3607654781321479,1.3757182,0.44453153806686213,0.3638379887422418,1.0806502,0.6124117554601306,0.14442244728999698,1.1985542
"[0.4001097120942636, 0.6280127071225932, 0.4369466559905459, 0.5081549869946212]",0.4027359136746933,1.1460295,0.5838109192638419,0.6629222975871372,1.0009997,0.9252629717482692,0.3507285408297245,1.3632703,0.4290099425835458,0.3888287349549894,1.0779173,0.5819104955679469,0.20846408132692218,1.1419307
"[0.3779405320351498, 0.5993839104814848, 0.43248822311955265, 0.4769112309593501]",0.4120140125067244,1.1633414,0.635677301054662,0.6556571155034663,1.0517795,0.9351003889105816,0.3609113845981692,1.3790714,0.4208567839012542,0.40942088565586554,1.0675404,0.578644076348763,0.22206666426939659,1.1549743
"[0.3529222827203345, 0.5669057135689759, 0.4121581224873054, 0.4599371531835425]",0.45455749198248263,1.0824598,0.5438413691844436,0.6894256117624991,0.955703,0.848441602401454,0.4386582319350888,1.2183468,0.41323286973631096,0.39749125559798515,1.071764,0.4950089195691173,0.29265486863435763,1.0840255
"[0.34210899609171447, 0.510485488654452, 0.3967200357760709, 0.44721595014090654]",0.440257498763551,1.1055808,0.563862973148086,0.6646542925249791,0.9892234,0.9514453333499419,0.4107944284021773,1.2918292,0.4108649948066987,0.4171191714259155,1.048504,0.5361395197088643,0.26846210270113213,1.0927665
"[0.3203451254473146, 0.479161732529647, 0.3833886740622501, 0.43390652435697435]",0.4480603648100906,1.1028237,0.5529952240967034,0.6636968805859466,1.0336882,0.9279246999511609,0.4598101738584417,1.2320193,0.4530633576007452,0.37308031368989625,1.0682952,0.520202626251799,0.2956540911060781,1.077292
"[0.3049807984045663, 0.4472978410751741, 0.373528234582407, 0.42696772700106767]",0.4426731767739011,1.128607,0.6124351690469563,0.6641378626194183,1.0650418,0.9745407113298844,0.44254431505512193,1.2565689,0.45864691776789523,0.38344189701377795,1.0852964,0.5527411234066059,0.28056863240728647,1.1075209
"[0.2891898048308326, 0.4049279287788449, 0.3576997682083853, 0.4150109840547775]",0.4676570307224328,1.1307501,0.6138323537873169,0.660442506336141,1.0813973,0.8509824079536784,0.42595727755428736,1.2612458,0.4043900921165257,0.4677048361944284,1.0640825,0.5513953891166238,0.31652350280487473,1.1162745
"[0.2718306596554456, 0.3695637687123002, 0.34148143950105425, 0.4033579016441285]",0.5058561238346797,1.1069914,0.6486694603154937,0.6501751113259064,1.1562233,0.9703101613863154,0.4441241995684233,1.3040723,0.3443410002173931,0.518532642950652,0.9745355,0.4528040103088139,0.4105925414937368,0.99313444
"[0.2571102606719485, 0.3672512066495969, 0.3381483305729904, 0.40783816376658405]",0.5176083080267925,1.0514357,0.5803851596706232,0.6750213857463376,1.0052181,0.9116925635801931,0.4861006427720109,1.1922612,0.3456172753255849,0.5187077769064882,0.9702469,0.488943298699726,0.39060342668233305,1.0380169
