train_loss,kappa_scores_mean,maes_mean,validation_loss_tr,kappa_tr,mae_tr,validation_loss_cc,kappa_cc,mae_cc,validation_loss_lr,kappa_lr,mae_lr,validation_loss_gra,kappa_gra,mae_gra
"[2.3604359797748176, 2.099532416301472, 2.224720999204121, 3.245514778435321]",0.000434400560558712,1.8106433,1.4354383987444883,0.0,2.1291852,1.113236751684335,0.001737602242234848,1.7821321,0.9052603267104083,0.0,1.5740411,1.093548306411308,0.0,1.757215
"[0.9877624591070594, 0.8112509471927056, 0.8131133213484748, 1.168751879786401]",0.011156122910149252,1.2684962,0.881897280108269,0.009597331711787116,1.4453906,0.7071021314837401,0.012397389603823528,1.374661,0.5362475868241623,0.013765504397008521,1.0947803,0.5442425201497576,0.008864265927977844,1.1591526
"[0.7794975388275688, 0.6015792471461295, 0.5850518849431782, 0.782882195154895]",0.02504054620785054,1.195404,0.7549062367255892,0.02006121668538896,1.1425571,0.6751156679873629,0.020018800743771714,1.3245711,0.49272859889478776,0.024707775293620005,1.1379234,0.488489417705941,0.03537439210862148,1.1765648
"[0.7325093888984046, 0.561121591633238, 0.5313532740044098, 0.6954958593643963]",0.05217998803241622,1.2129021,0.7637159691435322,0.029564011742503116,1.1742805,0.6690808539286613,0.018027116071120064,1.3006245,0.49188007979902093,0.1251477333713239,1.1869645,0.5257327135146297,0.0359810909447178,1.1897388
"[0.7224231693040347, 0.5594517439204021, 0.5027368758744926, 0.6420764393629601]",0.1281240556059189,1.2126983,0.797203174511636,0.06761785359804895,1.2816874,0.6634093216839551,0.0271401335799355,1.2745825,0.42515254203936054,0.27162021711232676,1.0977515,0.5216461017919426,0.14611801813336445,1.196772
"[0.707716074313845, 0.5470727868607769, 0.448905902900859, 0.5619057552713003]",0.22881943242971067,1.1625763,0.7396108530765808,0.12292238235574482,1.2381123,0.6276504860169532,0.08594134492252492,1.2461749,0.3856158515739334,0.3723975239749512,1.031597,0.4803344277178795,0.33401647846562177,1.134421
"[0.662338125127436, 0.5245801624104885, 0.40515927184130296, 0.5087334287018783]",0.34173706835403794,1.1330602,0.6931084565705864,0.3238611769523304,1.2652481,0.5703137275758171,0.22822814054282803,1.223299,0.3516594003438283,0.41165520815847423,0.9822041,0.4313534596167576,0.4032037477625192,1.0614898
"[0.5105362617526941, 0.452486487993794, 0.38230090194975574, 0.4770063804487539]",0.45254596001662795,1.0285338,0.4156273709721509,0.6012343630424176,0.94189864,0.4749250964388093,0.40591900509051326,1.099441,0.35498587194936376,0.4100833193433545,0.9838183,0.4542745459739425,0.3929471525902263,1.0889772
"[0.4286458979670525, 0.39884130199776197, 0.36633101806717727, 0.44967611146261915]",0.49654072766802393,1.0150812,0.42000245868060226,0.6267085681507385,0.9390256,0.48576176169866153,0.4378578280318157,1.0920243,0.3590354967410502,0.47558793424686396,0.9805913,0.43352133728659575,0.4460085802426773,1.0486832
"[0.3940451657804047, 0.3790435291933154, 0.34698444364138487, 0.42715778592256765]",0.5006380419606281,1.0147488,0.34075067336829834,0.6897695344441834,0.84738714,0.4770522655355924,0.49487056169798227,1.0840415,0.4047660133304244,0.42886159322795203,1.0393115,0.4527382791675357,0.3890504784723946,1.0882547
"[0.37121819530756683, 0.3583625068878749, 0.3257562099059094, 0.4051453787856413]",0.5469939925189381,0.9832412,0.34664751167001506,0.6921922144760788,0.8441902,0.4718034767518169,0.5057999178475087,1.0712734,0.35646796456390817,0.5250156417477998,0.97361076,0.4378552201941668,0.4649681960043651,1.0438904
"[0.3470181618519271, 0.33928098022120917, 0.31017346105014737, 0.38151183484748713]",0.4613858359960001,1.0654778,0.40148685230363873,0.6063389211839588,0.94924235,0.46981862745450287,0.43113039937254516,1.0860078,0.43083004880844383,0.4488404793034605,1.0638112,0.547072851637877,0.35923354412403596,1.1628499
"[0.3320444689582909, 0.3261442970986657, 0.28911745427016305, 0.3554228995797356]",0.5275917601847004,0.9865271,0.3673958408559348,0.6761012248164489,0.87323344,0.46569637085486554,0.47869696663053296,1.0452098,0.36025062143436154,0.519547176359765,0.9763814,0.43138275474992926,0.4360216729320552,1.0512838
"[0.3247454495445898, 0.3168483275249433, 0.272858915932503, 0.34062183085245823]",0.5144681763869032,1.017493,0.3585821823110255,0.67420016392797,0.8837405,0.49778917889944196,0.4591309198144016,1.1073247,0.4013937488989566,0.4947031287088941,1.0106726,0.46373068939846546,0.42983849309634736,1.0682341
"[0.3098594855535247, 0.3033866404992192, 0.2553257674279184, 0.32342272573995173]",0.4943952949584021,1.0819916,0.39795211179087187,0.6768851637210851,0.9198003,0.5002971438804507,0.5010543970678669,1.0910709,0.46057504278911165,0.4524122589573246,1.0847225,0.6110513597110452,0.34722936008733174,1.2323725
"[0.2973992998936171, 0.2953807129633711, 0.24069395423212095, 0.3045527850922037]",0.5314772840268767,1.0325515,0.35553025566312174,0.7171750129109715,0.86166275,0.4803983600796635,0.529431801833855,1.052139,0.4193831283397152,0.5012879657949805,1.028056,0.5737059521168687,0.3780143555676998,1.1883483
