train_loss,kappa_scores_mean,maes_mean,validation_loss_tr,kappa_tr,mae_tr,validation_loss_cc,kappa_cc,mae_cc,validation_loss_lr,kappa_lr,mae_lr,validation_loss_gra,kappa_gra,mae_gra
"[1.9278797571030961, 2.179266610750196, 2.392443857493733, 4.0049137833103705]",0.024640725265470426,2.194424,1.271974612218998,0.07260285238437303,1.5541425,1.298356214314229,0.01688885131411244,1.6244414,1.3907909434058472,0.006979621193726859,2.127174,2.7454868458883817,0.0020915761696693735,3.4719381
"[1.350355439271736, 1.3297969152379958, 1.1470267472081028, 1.9252226685644722]",0.043735771402638485,1.6138225,1.1568252978565412,0.17383833299706775,1.2972769,1.1846075882690372,0.005857117223904917,1.4269208,0.8131133952791064,0.016871763253331618,1.3978455,1.656765692489462,-0.021624127863750342,2.3332467
"[1.2358352908375623, 1.2391534579292416, 0.788940373237293, 1.3305518727150956]",0.13951699757133965,1.4599583,0.91612372888729,0.4216404699856745,1.0626063,1.091220866041216,0.12804405845400346,1.310621,0.8422910587455392,0.05670299335060269,1.4285928,1.4875923587263193,-0.048319531504922075,2.0380132
"[0.7951357937503745, 0.9661198900348625, 0.7442630004564506, 1.1875894146914157]",0.2680528171636282,1.1712992,0.6469954954925126,0.6577302066484967,0.9265902,0.837738692661565,0.36297816060770494,1.1316804,0.6083783181013942,0.1558337386780314,1.160838,1.211761308143808,-0.10433083727972003,1.4660883
"[0.6605793045241504, 0.8894260240647425, 0.6478992398538913, 1.0883321530601542]",0.2663148737869998,1.1605704,0.5769291336638385,0.6682699803602445,0.9171297,0.8177700261924962,0.37392843331590053,1.1521118,0.6675102550961297,0.0895488257949506,1.2130206,1.1712601101295312,-0.06648774432309645,1.3600194
"[0.5843299072828967, 0.8421080929714998, 0.6159108925215819, 0.9222300766866797]",0.27733058471334276,1.2151934,0.6529950164906544,0.5696382740944361,1.1506507,0.8188851568764682,0.3878055646011448,1.2044507,0.5785605791848368,0.21407426894460868,1.2094808,0.7722798640541583,-0.06219576878681843,1.2961913
"[0.5451258247722504, 0.799611331949477, 0.5865347610861111, 0.6247586009325782]",0.3176901899825266,1.1673303,0.5986242618846819,0.6186936211569593,1.0062847,0.8443545206885928,0.35236461833855426,1.23423,0.5233630380658297,0.26219388653436937,1.156544,0.7041809284668537,0.03750863390022385,1.2722625
"[0.5081155759132773, 0.7614288126062483, 0.5600032345402517, 0.580610054324548]",0.3317185594794615,1.141509,0.5370492638075791,0.6650590746711296,0.9551907,0.8288350027459673,0.38584841754666543,1.206046,0.5188767004837311,0.2378840325777355,1.1401632,0.6720907912139192,0.03808271312231548,1.2646362
"[0.47486737032387805, 0.7430493010177884, 0.5360603765400405, 0.5434625832291198]",0.3641082154689087,1.117734,0.5590733248173804,0.64228813725278,0.9557989,0.8247616662405665,0.36000730541506365,1.2177925,0.4444056395561034,0.3488027800988741,1.0715839,0.6594083054825194,0.10533463910891694,1.2257603
"[0.46134939730288943, 0.6914308610156351, 0.5035297349637645, 0.525123517781855]",0.3659741798013495,1.1381487,0.6023132472972426,0.6848909266837292,0.9468554,0.8561920622055161,0.337374748660332,1.2449468,0.45020431941652544,0.3625281334252649,1.1076051,0.6628371950686383,0.0791029104360722,1.2531873
"[0.4276226175718587, 0.6558004388436812, 0.48020346232643635, 0.5187039155712577]",0.3803379756327699,1.1703246,0.5545778960435769,0.6245135980348147,1.0697161,0.9026584030396543,0.3767196783778337,1.3253644,0.45109127022577544,0.35154761954743485,1.106338,0.5906601696368342,0.16857100657099644,1.1798797
"[0.40351026272047386, 0.6048154712215486, 0.4730281589729015, 0.4943292378440325]",0.3893633586729709,1.1329683,0.5393282275838385,0.6667831732562051,0.9722321,0.8460077145551187,0.4063781834702688,1.2643536,0.47130419431586495,0.33470622772546654,1.1038764,0.6142822159937085,0.14958585023994286,1.1914111
"[0.3812831356016073, 0.5691444900625283, 0.4496789980874344, 0.4782840731986247]",0.3076824189487615,1.2956707,0.5750415276588571,0.6559306093167443,1.0400045,0.9759906322197472,0.22756440093500085,1.510853,0.5875284527569375,0.2997509403999704,1.2908838,0.7295629906911226,0.04748372514333066,1.3409417
"[0.373262528316477, 0.5280408051916492, 0.46008484772536995, 0.48518991829199265]",0.4320389391327686,1.1194621,0.575201141224521,0.6682330506070537,0.9873449,0.8569161167689455,0.37987091848472343,1.2548858,0.3986223491654893,0.44424103203353005,1.0441917,0.6148041350398842,0.23581075540576701,1.1914264
"[0.345662392386221, 0.5133806115578389, 0.4313492400943549, 0.45338119511816827]",0.41375159340519063,1.1377811,0.5520455086135897,0.6448300881206488,1.0307846,0.7783513080910913,0.40307035331903096,1.2290679,0.4598383758973896,0.38612575578470465,1.088622,0.6466981359338387,0.22098017639637813,1.2026503
"[0.3217160214338695, 0.4464241588650275, 0.4116742880749551, 0.4466410331914815]",0.43751016834476697,1.1275883,0.5912489571820998,0.6510328465418485,1.0270189,0.8809687845119868,0.4224769395001239,1.2555099,0.4273294885878146,0.42236492788978974,1.0764252,0.5880169035149119,0.2541659594473056,1.1513993
"[0.30058282633571987, 0.4209898856469437, 0.41156586908677706, 0.4637523946356713]",0.43198441331409854,1.1309958,0.5799436278181785,0.6278334873803437,1.1278205,0.8298180735325238,0.47174960824426415,1.2174075,0.4342733057165994,0.3904118331725174,1.0545915,0.5740681156856199,0.237942724459269,1.1241636
